Review_Date,Hotel_Name,Reviewer_Nationality,Review,lat,lng
7/7/2017,Hotel Arena, United Kingdom , Nothing all great ,52.3605759,4.9159683
7/6/2017,Hotel Arena, France , 6 30 AM started big noise workers loading wood down the windows Stupid room numbering system it took 20 Minutes with a night guard finally to find our rooms The check in staff pointed us in the wrong direction No late dinner bar closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and hotel price 260 ,52.3605759,4.9159683
7/6/2017,Hotel Arena, United Kingdom , The floor in my room was filfy dirty Very basic rooms I had a 20yr old tv in my room Fridge did not work Overpriced breakfast ,52.3605759,4.9159683
7/4/2017,Hotel Arena, Italy ,No Negative,52.3605759,4.9159683
7/4/2017,Hotel Arena, Canada , The staff in the restaurant could of been more pleasant we only visited once but that wouldn t stop us from booking again it might of just been an off night for him ,52.3605759,4.9159683
7/3/2017,Hotel Arena, Italy ,No Negative,52.3605759,4.9159683
7/3/2017,Hotel Arena, United Kingdom , Very steep steps in room up to the bed not safe for children I asked to move rooms and was put in another identical one Room decoration was minamilist which I like but felt prison cell sparse,52.3605759,4.9159683
6/30/2017,Hotel Arena, Ireland , We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment ,52.3605759,4.9159683
6/29/2017,Hotel Arena, Netherlands ,No Negative,52.3605759,4.9159683
6/20/2017,Hotel Arena, Australia , We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely ,52.3605759,4.9159683
6/19/2017,Hotel Arena, United Kingdom , Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit ,52.3605759,4.9159683
6/12/2017,Hotel Arena, France , Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery ,52.3605759,4.9159683
6/10/2017,Hotel Arena, Germany , Sadly I cannot say that the rooms are clean enough for me When we got in our room we immediately notice there s something wet and sticky like juice or something just next to our bed We called the front desk and they said they will send a cleaning lady to us We waited at least half an hour and no one showed up We had to go to the front desk and complain again When we got back later in the evening the juice has been removed but there s still some hair on the spot We were however no interest to complain anymore Also on the wall in the room on the curtain and in the bathroom there s a lot of stains which I had to ignore the whole time I didn t feel comfortable at all The staff at front desk are very friendly However I guess they pay really bad to their cleaning ladies First you will not be greeted by the cleaning staffs if you run into one at the hallway What more annoying is that I got woke up at 7 in the morning by the cleaning ladies because they closed the doors so loudly when they were cleaning other rooms And they didn t close it loudly just once but for at least on hour They kept open and close the door I was really annoyed I was in my holiday and I just wanted to have a good sleep at least The parking place was small but ok When we arrived the ticket machine was broken Someone told us we don t need a ticket to get in for now and we just have to inform the front desk when we check in We did so and paid for 2 days when we checked out When we drove out the ticket machine was broken again So we didn t actually have to plug in the ticket which we have paid with a lot of money Of course we should pay for it because we parked there but still I was not so happy because I have the feeling that I paid for nothing ,52.3605759,4.9159683
5/29/2017,Hotel Arena, Ireland , Transportation was a bit of a pain but on route to your destination there is amazing views at every corner ,52.3605759,4.9159683
5/27/2017,Hotel Arena, United Kingdom , Nothing ,52.3605759,4.9159683
5/25/2017,Hotel Arena, United States of America , The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv ,52.3605759,4.9159683
5/25/2017,Hotel Arena, United Kingdom , Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all ,52.3605759,4.9159683
5/22/2017,Hotel Arena, France , Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you ,52.3605759,4.9159683
5/21/2017,Hotel Arena, United States of America , We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom ,52.3605759,4.9159683
5/16/2017,Hotel Arena, Hungary , There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical ,52.3605759,4.9159683
5/16/2017,Hotel Arena, Ireland , Little bit on the pricey side,52.3605759,4.9159683
5/11/2017,Hotel Arena, United Kingdom , Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective ,52.3605759,4.9159683
5/11/2017,Hotel Arena, United States of America , Our bathroom had an urine order Shower was very slippery No shower chair handles or bars Bed was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and breakfast was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,52.3605759,4.9159683
5/9/2017,Hotel Arena, Netherlands , Please see above,52.3605759,4.9159683
5/2/2017,Hotel Arena, United States of America , The rooms were cold Although nice the room decor was basic and unwelcoming It could use some design help an area rug or two ,52.3605759,4.9159683
4/27/2017,Hotel Arena, Israel , Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality ,52.3605759,4.9159683
4/26/2017,Hotel Arena, Ireland , not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,52.3605759,4.9159683
4/20/2017,Hotel Arena, Russia , The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more ,52.3605759,4.9159683
4/20/2017,Hotel Arena, United Kingdom , the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that,52.3605759,4.9159683
4/19/2017,Hotel Arena, Canada , Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet ,52.3605759,4.9159683
4/18/2017,Hotel Arena, Germany , Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy ,52.3605759,4.9159683
4/16/2017,Hotel Arena, United Kingdom , Hotel undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair Rooms that we had were tired and in need of some love First room had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another room which we duly transferred too which was better although bathroom lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the rooms we had just needed some care and attention and then the hotel would be first rate ,52.3605759,4.9159683
4/14/2017,Hotel Arena, Switzerland , Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again ,52.3605759,4.9159683
4/10/2017,Hotel Arena, United Kingdom , Water pressure in my shower was no existent Feel bad even saying that ,52.3605759,4.9159683
4/5/2017,Hotel Arena, United States of America , The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning ,52.3605759,4.9159683
4/5/2017,Hotel Arena, India , Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either ,52.3605759,4.9159683
4/5/2017,Hotel Arena, United Kingdom , The hotel is under construction which was never mentioned when I booked it or at any point until we arrived there We then wandered around empty half finished corridors looking for the temporary lobby The room was nice but the bathroom is a glass box inside the bedroom it s not in anyway private Showering or using the toilet feels aptly like you are performing in some kinky Amsterdam window there was also a nail sticking up at the entrance of the glass bathroom which I first discovered with my barefoot We woke up to the sound of scaffolding being hammered together and someone drilling concrete Hardly the relaxing break from noisey London that I believed I had booked The pictures are of a hotel looking over a park yet the room looked over an empty courtyard scattered with random bits of scaffolding and debris The first floor corridor smelled like they were having some serious blocked plumbing issue or perhaps another guest was very unwell Their 17 breakfast is really lazily thrown together with cheap products and entirely tasteless honestly not worth it get breakfast somewhere else instead We spent 100 in 3 days on uber because this hotel is over a mile from anything and the novelty of walking around pretty canals ends 20 minutes before this hotel even comes into view They will also take 50 deposit from you in advance for every day you are planning to stay This meant on arrival I suddenly had to pay a further 150 which caused a non sterling transaction charge on my card only to have the full amount refunded when we left minus the bank charges for this pointless but menditory transaction We made the best of it but I really wish they had been open about the current state of the place and I definitely would have stayed somewhere else ,52.3605759,4.9159683
3/29/2017,Hotel Arena, United Kingdom , The hotel is a little out of the main town but accessible by tram The hotel restaurant was a little disappointing the food was great but we waited too long for it due to waiting staff prioritising large groups ,52.3605759,4.9159683
3/22/2017,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
3/22/2017,Hotel Arena, United Arab Emirates , Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here,52.3605759,4.9159683
3/20/2017,Hotel Arena, United Kingdom , The bar was shut when I got back at midnight which seemed quite early for a hotel bar on a Saturday night in a city like Amsterdam ,52.3605759,4.9159683
3/19/2017,Hotel Arena, United Kingdom , When arriving I was told I had to pay 19 city tax That wasn t shown on the policies I pre paid extra for there to be petals on the bed there were no petals The sheets weren t changed the cleaner just made the bed didn t even sweep the floor When checking out the receptionist said she would call a taxi for us We waited 30 minutes after 15 we asked how long it would be she said I will check she said that twice Made us late for the airport and nearly missed our flight Wasn t happy at all ,52.3605759,4.9159683
3/18/2017,Hotel Arena, Netherlands , I loved everything ,52.3605759,4.9159683
3/16/2017,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
3/6/2017,Hotel Arena, Poland , when you take a shower the whole floor is in the water problem with opening the garage door curtained window some construction,52.3605759,4.9159683
2/20/2017,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
2/17/2017,Hotel Arena, United Kingdom , there was construction work going on in the hotel which i was not expecting and would like to have known about in advance the bar staff we not keen to serve use when we arrived late from the airport at 11 30pm despite at check in being told the bar was open until 12 mid night ,52.3605759,4.9159683
2/17/2017,Hotel Arena, United Kingdom , Some building work was being carried out during our stay which was noisy but obviously unavoidable stairs in our room were very narrow and steep which meant getting up in the middle of the night to go to the toilet was a real task ,52.3605759,4.9159683
2/14/2017,Hotel Arena, United Kingdom , The hotel is under renovation so even though it was in a park our view was of scaffolding Also the bed would benefit from more pillows blankets Personal preference ,52.3605759,4.9159683
2/9/2017,Hotel Arena, Switzerland ,No Negative,52.3605759,4.9159683
2/6/2017,Hotel Arena, Malaysia , The place is completely mismanaged The property is amazing and whoever is running the place is doing it a disservice Don t stay here if you are expecting a 4 star experience it s a 4 star location with 1 star service The restaurant service is the worst I have ever experienced The staff need guidance on how to serve efficiently The hotel has many strange design choices too Had a double bedroom with a friend yet you can easily see into the bathroom shower and toilet Shower overflows all over bathroom quickly You can see into the urinals from the reception area Loud security doors right outside our room woke us up regularly Put the security measures on the elevators ya goofs This is the only negative review I have ever written but the place has potential and needs new management ,52.3605759,4.9159683
1/29/2017,Hotel Arena, Denmark , The bathroom if someone took shower because it will flow over to the elevated floor ,52.3605759,4.9159683
1/27/2017,Hotel Arena, United Kingdom , Soundproofing was poor could hear everything from outside our room and woke one morning thinking someone had come into our room as sound was so clear Service and food in the restaurant was awful at dinner so we didn t eat there again ,52.3605759,4.9159683
1/25/2017,Hotel Arena, South Africa , Very bad attitude of personnel at Breakfast Only allowed one coffee from the Coffee machine filter coffee was free Rude behavior of the manager Room was noisy because of dripping water sound heater system in room ,52.3605759,4.9159683
1/19/2017,Hotel Arena, United Kingdom , The bath tub wasn t completely clean that would be my only gripe ,52.3605759,4.9159683
1/8/2017,Hotel Arena, United Kingdom , Not being told a hedkandi night was across from our room leaving us with no sleep Room could have been allocated to someone attending the night instead of us Just bad organisation on room allocation ,52.3605759,4.9159683
12/29/2016,Hotel Arena, United Kingdom , Asked for more coffee and sugars only got given two satchets of each Room cleaned floor not hovered as the rug was very messy Wifi worked for half a morning then never connected again for the whole trip ,52.3605759,4.9159683
12/28/2016,Hotel Arena, South Africa , Room was not cleaned correctly Wine Champagne glasses left dirty in the room the floors felt dirty and the shower drain was clogged From the day we arrived ,52.3605759,4.9159683
12/21/2016,Hotel Arena, United Arab Emirates , The bathroom was amazing Though we were two friends sharing and it had a glass screen so it was a bit uncomfortable at times They should think about a screen or opaque glass ,52.3605759,4.9159683
12/20/2016,Hotel Arena, United Kingdom , Our room didn t have a sofa in but these two uncomfortable chairs and the stairs was too steep for the room Didn t feel safe going up and down the stairs but these are minor issues I would recommend the hotel to anyone ,52.3605759,4.9159683
12/19/2016,Hotel Arena, Germany , The breakfast was rather average from quality and appearance and not that well organized The young gentlemen managing this were more interested in watching the young female guests This was nice to see but at the same time spoons butter coffee etc were out I would expect a better experience for that price ,52.3605759,4.9159683
12/19/2016,Hotel Arena, Switzerland , Breakfast I missed cutted fresh fruits for Muesli couldn t find the Cheese and for Capuccino you had to pay extra ,52.3605759,4.9159683
12/15/2016,Hotel Arena, Denmark , The sink in the bathroom was very dirty when I got the room Unacceptable The room was freezing cold they could turn on the heating before the guests arrive ,52.3605759,4.9159683
12/14/2016,Hotel Arena, United Kingdom , upgraded on arrival very good but unfortunately lovely room had a smell of cigarettes mixed with perfume so changed room next room in attic annexe very cold offered a heater but asked to change again back to regular sized room perfectly adequate as on my own and comfortable but bothered by traffic noise from main road outside ,52.3605759,4.9159683
12/14/2016,Hotel Arena, United Kingdom , If you are staying with someone who you aren t comfortable sharing every little detail with we wouldn t recommend this hotel The glass box in the corner of the room that doubles as the en suite has practically see through glass even though it s black so you can t be concerned about protecting your modesty Nearly all the guests we came across we re British but there was a complete lack of English Breakfast tea in the restaurant where you had breakfast What made it stranger was we told them it was available in the tea coffee facilities in the room but only with powdered milk but they still couldn t produce any for breakfast The hotel was also undergoing serious renovation works at the time Which didn t really affect us other than when they decided to start taking the ceiling of the restaurant down while they were serving breakfast ,52.3605759,4.9159683
12/13/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
12/12/2016,Hotel Arena, United Kingdom , The hotel is undergoing massive construction with workers all around and this was not indicated at the time of booking We had a rodent in the room one night due to the disturbance of construction ,52.3605759,4.9159683
12/11/2016,Hotel Arena, Ireland , Rooms were a little louder than we would have liked A lot of noise from people walking by and shutting doors ,52.3605759,4.9159683
12/10/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
12/7/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
11/15/2016,Hotel Arena, Rwanda , The hotel is being renovated Which means that you will literally be drilled out of your bed starting at 7am We paid EUR350 for a large room but really it was not worth the money ,52.3605759,4.9159683
11/7/2016,Hotel Arena, United Kingdom , I can t think of anything that we didn t enjoy ,52.3605759,4.9159683
11/6/2016,Hotel Arena, Belgium , The cleaniness of the rooms can be better Check refrigerator regulary and the rooms can use a good cleaning scrub Also the floor was really sandy and there was an odor in the hallway and room Some extra pillows to watch tv would be nice too Restaurant some nice varpet at the fire place would spice it up And cookies with your tea coffee hot choco it s a star hotel ,52.3605759,4.9159683
11/2/2016,Hotel Arena, United Kingdom , Wasn t told about renovations going on staff in the restaurant very slow ask to order got told table service then when they did come over were told the restaurant had closed The man covering the night shift wasn t very helpful ,52.3605759,4.9159683
10/31/2016,Hotel Arena, Switzerland , The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy ,52.3605759,4.9159683
10/30/2016,Hotel Arena, United Kingdom , Initial room was small but we were quickly swapped into a bettet room without fuss,52.3605759,4.9159683
10/26/2016,Hotel Arena, United Kingdom , That I wasn t told about the refurbishment so when we arrived i had told my girlfriend after a long tiring day it was a beautiful hotel which when we got there was covered in building works We had to walk through a temporary wood tunnel had no milk in our room for refreshments When walking around there was nobody very empty feel ,52.3605759,4.9159683
10/25/2016,Hotel Arena, United Kingdom , Maintenance work on facade of hotel no advance warning and some rather inadequate drinks token to make up for it Leaking air con above bed was noisy and was dripping Stained carpet Not very safe feeling a steep staircase to the sleeping area with no barrier from 2 3m high Not much useful information No minibar Understaffed reception long wait ,52.3605759,4.9159683
10/25/2016,Hotel Arena, United Kingdom , No ground floor room as requested 2 months ago first room totally freezing etc restaurant under par Much better last time we stayed Prices gone up ,52.3605759,4.9159683
10/25/2016,Hotel Arena, United Kingdom , We booked 3 twins and were given 2 and a double which they couldn t change Not happy Plus bathroom had a horrible smell coming from the drain ,52.3605759,4.9159683
10/24/2016,Hotel Arena, France , Even allowing for the hotel being under major renovation works the quality of service leaves a lot to be desired Noise of running water coming from the heating system disturbed our sleep considerably No remediation possible Toiletries in bathroom had been used by previous guests Some were empty some partially used Checkout at 12 30 1hour after official checkout time was declined as priority is given to a tour group arriving earlier than normal checkin time Having paid over 300 for 1 night stay this is somewhat disappointing Service at breakfast was very poor Shabby state of hotel with the exception of the rooms is perhaps explained by the renovation works and work still to be done ,52.3605759,4.9159683
10/13/2016,Hotel Arena, Switzerland , The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere ,52.3605759,4.9159683
10/12/2016,Hotel Arena, United Kingdom , In a terrible state with builders everywhere We had to wait to get into our room as the conference event builders were blocking the door Our room that we were told was new was in a poor state of repair ,52.3605759,4.9159683
10/11/2016,Hotel Arena, Finland , So lets start from the weird thing that happened in one of the rooms we were staying One person in our group got 220v electric chock which went through her hands It came from water boiler or lamp due to either a bad wireing faulty socket lamp or water boiler Luckily the rooms fuse discharged and cut the electricity in the room immediately The hotel covered doctor expences were very sorry about what had happened and send a fruit basket to a room They also let us have a late check out for free of charge Thats all of the compensation we had In my opinion the compensation was not that big for endangering a life of guest or what do you think The managemt had a chance to read and comment my review before i posted it The hotel management answered that this electric problem is now fixed but its still unclear if they checked other renovated rooms for faulty wireing too It anyway seems that the management does not worry about this that much since the management said that they did nor endanger any lives in the hotel Ofcource the managent was also very sorry in the answer about what had happened Some information gaps there seemed to be between the manager and the personnel since the cleaner came to ask us when are we leaving and the keys stopped working before the time we had been granted to leave Picture is from bathroom lamp that had nothing to do with the insident but such wireing was visible in the rooms,52.3605759,4.9159683
10/6/2016,Hotel Arena, Portugal , There were Construction Works and such information was not passed to us when we booked There was dust everywhere and the shower was blocked the bathroom flooded everytime we took a shower Too dark common reas ,52.3605759,4.9159683
10/4/2016,Hotel Arena, United Kingdom , The work being done externally right now is off putting on arrival Will look great once finished but we did get free drinks to compensate ,52.3605759,4.9159683
9/27/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
9/27/2016,Hotel Arena, United Kingdom , Our room was a little compact probably due to it being a loft room at the end of the building However the design tried to maximise its quirky layout ,52.3605759,4.9159683
9/19/2016,Hotel Arena, United Kingdom , Got charged 50 for a birthday package when it was advertised for 30 on the website This was apparently due to city taxes which we were unaware of The shower was blocked and would flood the room after one use We were unable to get rid of the water so couldn t use the room after we d had a shower Couldn t check us into our room at 3pm had to wait extra 30 minutes Standard Breakfast was very expensive at 17 I highly suggest not to buy Cigarette machine was broken and staff still allowed us to try and use Overall a disappointing stay for a birthday weekend ,52.3605759,4.9159683
9/19/2016,Hotel Arena, Ireland , split level bedrooms although quirky are impractical 1 TV remote for both tv s but on differernt floors A C is located downstairs so very impractical to have to go downstairs to adjust The walls are also very thin not good sound proofing ,52.3605759,4.9159683
9/18/2016,Hotel Arena, United Kingdom , Building work starting at 7am waking us up no mention of building work on booking com and on hotels web page it does say renovations but not that there would be noise disturbance Also air conditioning very very loud,52.3605759,4.9159683
9/12/2016,Hotel Arena, United Kingdom , Hotel is having some construction work done this I can live with the tables and general cleanliness of the restaurant was not 4 star all the surfaces were sticky and full of old food the room had a very narrow and steep staircase to get to the bed really difficult to come down I thought,52.3605759,4.9159683
9/9/2016,Hotel Arena, Netherlands , There was a girl working in the restaurant and we asked her a few things about the dessert but she didn t know alot The staff that evening didn t walk by our table once and when they did they didn t take our plates The staff the next day though was more experienced and very outgoing So our dinner of the night before was immediately forgotten and we had a great night at your restaurant ,52.3605759,4.9159683
8/31/2016,Hotel Arena, Australia , it s a shame about all the construction going on because it looked like such a beautiful place but we couldn t see a lot ,52.3605759,4.9159683
8/13/2016,Hotel Arena, United Kingdom , Building work is being done but it doesn t case any hassle ,52.3605759,4.9159683
7/30/2016,Hotel Arena, United States of America , Construction during the day though not intrusive,52.3605759,4.9159683
7/27/2016,Hotel Arena, Canada , The front desk staff particularly the young men tended to be a bit spaced out and were not very helpful at times however the female attendants on the desk were quite efficient and knowledgeable Breakfast was a bit pricey especially for two people combined ,52.3605759,4.9159683
7/26/2016,Hotel Arena, United States of America , No Limited A C in common areas Dangerous metal ornaments on all banisters Musty smell throughout common areas Deluxe rooms very small impractical design Impractical shower design no place for soap Poor quality bed mattress Room refrigerator barely worked Food in restaurant overprices only fair quality Overall dark rundown dreary appearance,52.3605759,4.9159683
7/20/2016,Hotel Arena, United Kingdom , There was a loud noise outside my room on the first night like a generator Perhaps it had to do with the renewal works in place ,52.3605759,4.9159683
7/17/2016,Hotel Arena, United Kingdom , The hotel is under reconstruction although it didn t affect us Overall it s a lovely hotel very spacious ,52.3605759,4.9159683
7/14/2016,Hotel Arena, South Africa , there is a renovation ongoing in front of the hotel which will hopefully be completed soon as it kills the view,52.3605759,4.9159683
7/9/2016,Hotel Arena, United States of America , Staff promised things they didn t deliver Room was very small bathroom cramped location generally distant ,52.3605759,4.9159683
7/5/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
7/2/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
7/2/2016,Hotel Arena, United Kingdom ,No Negative,52.3605759,4.9159683
6/29/2016,Hotel Arena, Netherlands , We would have liked to know in advance that the hotel is being renovated We had a room right in front of the building site and were waken up at 6 30 because of the noise Booking com should warn travellers for this so they can ask for a room on the quiet side of the hotel ,52.3605759,4.9159683
6/27/2016,Hotel Arena, United Kingdom , I wouldnt be able to recommend my grandparents as there are stairs in our room i also dont remember reading that there are stairs in the room although its fine for us as we are only 20 ,52.3605759,4.9159683
6/17/2016,Hotel Arena, Canada , The outside of the hotel is under construction It will look beautiful when it s done ,52.3605759,4.9159683
6/17/2016,Hotel Arena, United Kingdom , the room next to us were quite loud at night time which proved it a bit difficult to sleep on times The bathroom was really damp due to the wet room and water went by the toilet so we had to wear shoes when using the bathroom after showering The staff member who checked us in charged us a 150 security fee and we were told that this would not be deducted from our bank only held but it was which resulted into the bank blocking my card due to an unauthorised foreign payment Check this when checking in and make sure the bank is aware ,52.3605759,4.9159683
6/16/2016,Hotel Arena, Canada , The hotel gardens and patios were under major renovation The sidewalk entrance was a mess There was no mention of this at all on the booking com website We were given a voucher for one drink cocktails excluded as compensation Not good enough ,52.3605759,4.9159683
6/5/2016,Hotel Arena, United Kingdom , Major construction work underway next door as part of hotel expansion Room on 2 levels with very steep staircase which made going to the toilet in the night a very dangerous experience After complaining they did agree to move us to room on one level Food in restaurant leaves a lot to be desired for anyone wishing to have food anything except medium rare Despite friendly staff will not be returning cannot recommend ,52.3605759,4.9159683
6/1/2016,Hotel Arena, United States of America , The first room had steep steps to a loft bed Not practical and dangerous for someone 68 especially if he has to go to the bathroom in the night Second night had a room on one level ,52.3605759,4.9159683
6/1/2016,Hotel Arena, Luxembourg , The bathroom has cristal walls and it is not comfortable at all The room size was also pretty small ,52.3605759,4.9159683
